,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
